Freq (MHz),re(S11),im(S11),re(Z),im(Z)
943.143,-0.67575,-0.69682,0.878,-21.156
948.949,-0.68265,-0.69078,0.859,-20.879
954.755,-0.68857,-0.68336,0.887,-20.594
960.561,-0.69300,-0.67817,0.899,-20.389
966.366,-0.69871,-0.67136,0.915,-20.123
972.172,-0.70655,-0.66369,0.899,-19.795
977.978,-0.71197,-0.65778,0.898,-19.556
983.784,-0.71346,-0.65247,0.971,-19.409
989.590,-0.72140,-0.64530,0.935,-19.094
995.395,-0.72611,-0.63881,0.955,-18.858
1001.201,-0.73023,-0.63407,0.953,-18.672
1007.007,-0.73623,-0.62748,0.942,-18.411
1012.813,-0.74077,-0.61558,1.061,-18.056
1018.619,-0.74536,-0.60669,1.118,-17.769
1024.424,-0.74800,-0.59642,1.243,-17.484
1030.230,-0.75715,-0.58480,1.235,-17.052
1036.036,-0.76047,-0.57518,1.324,-16.769
1041.842,-0.76697,-0.56545,1.337,-16.428
1047.648,-0.77018,-0.55778,1.389,-16.192
1053.453,-0.77603,-0.54938,1.388,-15.896
1059.259,-0.78147,-0.53831,1.437,-15.543
1065.065,-0.78892,-0.52919,1.402,-15.205
1070.871,-0.79415,-0.52087,1.404,-14.923
1076.677,-0.79798,-0.51023,1.473,-14.607
1082.482,-0.80211,-0.50219,1.492,-14.349
1088.288,-0.80734,-0.49244,1.506,-14.034
1094.094,-0.81118,-0.47999,1.589,-13.672
1099.900,-0.81513,-0.46888,1.646,-13.341
1105.706,-0.82144,-0.45556,1.669,-12.923
1111.512,-0.82187,-0.44711,1.771,-12.705
1117.317,-0.82779,-0.43210,1.815,-12.249
1123.123,-0.83172,-0.42084,1.856,-11.914
1128.929,-0.83519,-0.40813,1.922,-11.547
1134.735,-0.83838,-0.39650,1.978,-11.211
1140.541,-0.84335,-0.38336,2.000,-10.815
1146.346,-0.84588,-0.37150,2.066,-10.479
1152.152,-0.84524,-0.36074,2.198,-10.205
1157.958,-0.85435,-0.34666,2.106,-9.741
1163.764,-0.85789,-0.33354,2.144,-9.361
1169.570,-0.86166,-0.32096,2.165,-8.994
1175.375,-0.86515,-0.30611,2.209,-8.568
1181.181,-0.86708,-0.29267,2.275,-8.194
1186.987,-0.87010,-0.27712,2.324,-7.754
1192.793,-0.86931,-0.26313,2.456,-7.384
1198.599,-0.87300,-0.24706,2.477,-6.922
1204.404,-0.87372,-0.23070,2.573,-6.473
1210.210,-0.87520,-0.21439,2.640,-6.018
1216.016,-0.87626,-0.19759,2.713,-5.551
1221.822,-0.87675,-0.18029,2.796,-5.072
1227.628,-0.87660,-0.16345,2.886,-4.606
1233.433,-0.87571,-0.14686,2.988,-4.149
1239.239,-0.87491,-0.12785,3.089,-3.620
1245.045,-0.87381,-0.11014,3.183,-3.126
1250.851,-0.87290,-0.09269,3.263,-2.636
1256.657,-0.87045,-0.07365,3.380,-2.102
1262.462,-0.86870,-0.05523,3.466,-1.580
1268.268,-0.86485,-0.03651,3.603,-1.049
1274.074,-0.86049,-0.01540,3.746,-0.445
1279.880,-0.85680,0.00571,3.856,0.166
1285.686,-0.85033,0.02806,4.032,0.819
1291.491,-0.84312,0.04932,4.217,1.451
1297.297,-0.83600,0.07099,4.385,2.103
1303.103,-0.82758,0.09264,4.577,2.766
1308.909,-0.81832,0.11767,4.766,3.544
1314.715,-0.80708,0.14218,4.997,4.327
1320.521,-0.79829,0.16118,5.165,4.944
1326.326,-0.78484,0.18600,5.425,5.776
1332.132,-0.77384,0.20639,5.622,6.472
1337.938,-0.76194,0.22822,5.819,7.230
1343.744,-0.74840,0.25149,6.036,8.060
1349.550,-0.73194,0.27657,6.303,8.991
1355.355,-0.71527,0.29979,6.572,9.888
1361.161,-0.69720,0.32138,6.881,10.771
1366.967,-0.67884,0.34500,7.151,11.745
1372.773,-0.65644,0.36911,7.515,12.816
1378.579,-0.63587,0.38947,7.851,13.773
1384.384,-0.61186,0.41236,8.229,14.897
1390.190,-0.58583,0.43514,8.643,16.091
1395.996,-0.55973,0.45640,9.057,17.281
1401.802,-0.53236,0.47535,9.530,18.467
1407.608,-0.50404,0.49418,10.009,19.717
1413.413,-0.47437,0.51389,10.478,21.080
1419.219,-0.44359,0.53102,11.016,22.444
1425.025,-0.41166,0.54679,11.597,23.859
1430.831,-0.37729,0.56386,12.184,25.458
1436.637,-0.34298,0.57629,12.882,26.984
1442.442,-0.30785,0.58789,13.609,28.593
1448.248,-0.27045,0.59722,14.467,30.305
1454.054,-0.23131,0.60655,15.355,32.194
1459.860,-0.19297,0.61299,16.315,34.075
1465.666,-0.15461,0.61755,17.344,36.019
1471.471,-0.11477,0.62119,18.450,38.143
1477.277,-0.07483,0.62264,19.661,40.354
1483.083,-0.03253,0.62058,21.148,42.762
1488.889,0.00808,0.61895,22.562,45.278
1494.695,0.05070,0.61227,24.394,47.982
1500.501,0.08980,0.60647,26.087,50.697
1506.306,0.13101,0.59627,28.239,53.685
1512.112,0.17230,0.58251,30.798,56.863
1517.918,0.20800,0.56865,33.314,59.819
1523.724,0.24800,0.55282,36.326,63.461
1529.530,0.28609,0.53519,39.677,67.226
1535.335,0.32372,0.51492,43.604,71.270
1541.141,0.35830,0.49387,47.866,75.321
1546.947,0.39282,0.47083,52.851,79.754
1552.753,0.42413,0.44847,58.094,84.180
1558.559,0.45597,0.42154,64.856,88.994
1564.364,0.48467,0.39602,72.003,93.755
1570.170,0.51311,0.36740,80.868,98.751
1575.976,0.53935,0.33947,90.682,103.675
1581.782,0.56374,0.31140,101.852,108.391
1587.588,0.58592,0.28095,115.372,112.202
1593.393,0.60716,0.25046,130.986,115.391
1599.199,0.62584,0.21943,148.866,116.628
1605.005,0.64360,0.18953,168.724,116.317
1610.811,0.65896,0.15759,191.626,111.650
1616.617,0.67322,0.12537,216.754,102.338
1622.422,0.68636,0.09538,241.842,88.754
1628.228,0.69719,0.06503,265.683,67.799
1634.034,0.70712,0.03382,286.944,38.906
1639.840,0.71522,0.00241,301.124,2.973
1645.646,0.72096,-0.02742,304.944,-34.873
1651.451,0.72689,-0.05813,300.278,-74.554
1657.257,0.73034,-0.08618,286.469,-107.527
1663.063,0.73407,-0.11588,266.033,-137.707
1668.869,0.73555,-0.14508,240.662,-159.464
1674.675,0.73713,-0.17115,217.162,-173.947
1680.480,0.73584,-0.19990,190.713,-182.161
1686.286,0.73594,-0.22491,169.476,-186.937
