Freq (MHz),re(S11),im(S11),re(Z),im(Z)
3677.678,0.09678,-0.98639,0.494,-55.144
3683.483,0.08391,-0.99014,0.346,-54.415
3689.289,0.08969,-0.99126,0.259,-54.727
3695.095,0.07973,-0.99337,0.187,-54.174
3700.901,0.07929,-0.99165,0.283,-54.157
3706.707,0.09621,-0.99135,0.222,-55.087
3712.513,0.07710,-1.00060,-0.193,-54.000
3718.318,0.07387,-0.99893,-0.090,-53.834
3724.124,0.08466,-1.00101,-0.250,-54.407
3729.930,0.07708,-0.99873,-0.092,-54.008
3735.736,0.07674,-0.99238,0.253,-54.015
3741.542,0.07528,-0.99010,0.383,-53.945
3747.347,0.07328,-0.98789,0.510,-53.844
3753.153,0.06961,-0.99927,-0.091,-53.604
3758.959,0.07559,-0.98896,0.443,-53.966
3764.765,0.07720,-1.00067,-0.197,-54.006
3770.571,0.07406,-0.98678,0.567,-53.890
3776.376,0.06043,-1.01627,-0.952,-53.052
3782.182,0.06894,-0.99304,0.246,-53.591
3787.988,0.07579,-0.99121,0.320,-53.968
3793.794,0.06279,-0.99731,0.038,-53.247
3799.600,0.04895,-0.99743,0.072,-52.514
3805.405,0.06028,-0.97690,1.144,-53.167
3811.211,0.04533,-0.98117,0.940,-52.354
3817.017,0.05731,-0.97835,1.071,-53.003
3822.823,0.04854,-0.97969,1.015,-52.528
3828.629,0.04769,-0.97916,1.045,-52.484
3834.434,0.03303,-0.97518,1.271,-51.706
3840.240,0.03175,-0.97116,1.484,-51.639
3846.046,0.03915,-0.96665,1.724,-52.036
3851.852,0.04010,-0.96824,1.638,-52.087
3857.658,0.01980,-0.95180,2.509,-50.988
3863.463,0.02996,-0.95834,2.170,-51.540
3869.269,0.02552,-0.95398,2.400,-51.298
3875.075,0.02635,-0.95042,2.593,-51.338
3880.881,0.01782,-0.94483,2.880,-50.869
3886.687,0.01958,-0.93781,3.263,-50.948
3892.492,0.01338,-0.93506,3.396,-50.605
3898.298,0.00465,-0.92720,3.790,-50.107
3904.104,0.00026,-0.92398,3.946,-49.858
3909.910,-0.00540,-0.91591,4.354,-49.516
3915.716,-0.00657,-0.91146,4.588,-49.430
3921.522,-0.01541,-0.90490,4.890,-48.916
3927.327,-0.01366,-0.90550,4.868,-49.014
3933.133,-0.02692,-0.89397,5.397,-48.225
