Freq (MHz),re(S11),im(S11),re(Z),im(Z)
995.395,-0.61218,0.77889,0.290,24.296
1001.201,-0.60883,0.78226,0.272,24.444
1007.007,-0.60423,0.78873,0.200,24.681
1012.813,-0.60082,0.78889,0.262,24.769
1018.619,-0.59910,0.79014,0.263,24.836
1024.424,-0.59699,0.79182,0.262,24.921
1030.230,-0.58872,0.79403,0.363,25.171
1036.036,-0.58434,0.79643,0.385,25.328
1041.842,-0.58193,0.79874,0.372,25.434
1047.648,-0.57797,0.79972,0.422,25.554
1053.453,-0.57547,0.80429,0.351,25.705
1059.259,-0.57073,0.80619,0.390,25.863
1065.065,-0.56803,0.81010,0.338,26.006
1070.871,-0.56310,0.81298,0.354,26.190
1076.677,-0.56058,0.81768,0.276,26.343
1082.482,-0.55734,0.81981,0.279,26.468
1088.288,-0.55292,0.82306,0.273,26.645
1094.094,-0.55171,0.82631,0.208,26.736
1099.900,-0.54693,0.82912,0.218,26.916
1105.706,-0.54402,0.82938,0.263,26.999
1111.512,-0.53940,0.83296,0.248,27.189
1117.317,-0.53489,0.83234,0.346,27.302
1123.123,-0.53255,0.83376,0.349,27.391
1128.929,-0.52714,0.83748,0.342,27.607
1134.735,-0.52541,0.83620,0.408,27.633
1140.541,-0.52296,0.83695,0.431,27.715
1146.346,-0.51664,0.84315,0.369,28.001
1152.152,-0.51953,0.83808,0.460,27.831
1157.958,-0.51044,0.84457,0.437,28.202
1163.764,-0.50682,0.85027,0.337,28.404
1169.570,-0.50083,0.85269,0.371,28.618
1175.375,-0.49630,0.85485,0.386,28.786
1181.181,-0.49405,0.85728,0.354,28.893
1186.987,-0.48948,0.85915,0.376,29.058
1192.793,-0.48948,0.86276,0.271,29.119
1198.599,-0.48174,0.86223,0.416,29.338
1204.404,-0.47972,0.86310,0.425,29.412
1210.210,-0.47468,0.86541,0.440,29.601
1216.016,-0.47101,0.86647,0.470,29.728
1221.822,-0.46609,0.86643,0.553,29.876
1227.628,-0.46379,0.86930,0.504,29.993
1233.433,-0.45885,0.87227,0.495,30.192
1239.239,-0.45470,0.87380,0.516,30.344
1245.045,-0.45039,0.87585,0.523,30.509
1250.851,-0.44926,0.87765,0.486,30.574
1256.657,-0.44426,0.88065,0.474,30.777
1262.462,-0.43962,0.88322,0.467,30.962
1268.268,-0.43715,0.88537,0.439,31.074
1274.074,-0.43398,0.88767,0.417,31.209
1279.880,-0.42866,0.88958,0.439,31.407
1285.686,-0.42329,0.89366,0.393,31.641
1291.491,-0.42110,0.89363,0.427,31.710
1297.297,-0.41446,0.89709,0.418,31.976
1303.103,-0.41147,0.89651,0.482,32.064
1308.909,-0.40786,0.89426,0.610,32.147
1314.715,-0.40281,0.89819,0.559,32.372
1320.521,-0.39882,0.89994,0.561,32.529
1326.326,-0.39428,0.89872,0.670,32.660
1332.132,-0.39083,0.90091,0.648,32.807
1337.938,-0.38625,0.90357,0.628,32.999
1343.744,-0.38383,0.90385,0.654,33.085
1349.550,-0.37801,0.90792,0.602,33.340
1355.355,-0.37442,0.90905,0.616,33.477
1361.161,-0.37178,0.91031,0.611,33.585
1366.967,-0.36809,0.91295,0.573,33.749
1372.773,-0.36339,0.91370,0.614,33.920
