Freq (MHz),re(S11),im(S11),re(Z),im(Z)
3613.814,0.25774,-0.11687,81.465,-20.699
3619.620,0.24743,-0.11732,79.725,-20.223
3625.425,0.23884,-0.11689,78.352,-19.711
3631.231,0.23024,-0.11460,77.094,-18.921
3637.037,0.22336,-0.11283,76.098,-18.319
3642.843,0.21862,-0.10837,75.564,-17.414
3648.649,0.21334,-0.10483,74.901,-16.645
3654.454,0.21000,-0.09340,74.838,-14.759
3660.260,0.20532,-0.09675,73.998,-15.097
3666.066,0.20096,-0.09326,73.468,-14.410
3671.872,0.20178,-0.08815,73.769,-13.669
3677.678,0.20041,-0.08476,73.674,-13.110
3683.483,0.20332,-0.07952,74.283,-12.405
3689.289,0.20642,-0.07441,74.913,-11.713
3695.095,0.20393,-0.07615,74.477,-11.907
3700.901,0.20739,-0.07712,74.983,-12.161
3706.707,0.21572,-0.06979,76.503,-11.257
3712.513,0.21640,-0.07545,76.444,-12.174
3718.318,0.22217,-0.06994,77.532,-11.467
3724.124,0.22597,-0.08126,77.785,-13.416
3729.930,0.22995,-0.07631,78.599,-12.744
3735.736,0.23453,-0.08054,79.208,-13.594
3741.542,0.23700,-0.08141,79.587,-13.827
3747.347,0.23890,-0.08544,79.754,-14.566
3753.153,0.24354,-0.09382,80.192,-16.148
3758.959,0.24143,-0.09200,79.916,-15.756
3764.765,0.24422,-0.10060,80.010,-17.305
3770.571,0.24241,-0.10514,79.504,-17.973
3776.376,0.24946,-0.10978,80.447,-19.080
3782.182,0.24174,-0.12158,78.576,-20.616
3787.988,0.24060,-0.12816,78.037,-21.608
3793.794,0.23870,-0.12889,77.694,-21.619
3799.600,0.24056,-0.14953,76.762,-24.960
3805.405,0.22939,-0.14807,75.147,-24.047
3811.211,0.22963,-0.15668,74.652,-25.352
3817.017,0.21950,-0.16309,72.763,-25.652
3822.823,0.21257,-0.16818,71.455,-25.941
3828.629,0.20860,-0.18039,70.118,-27.380
3834.434,0.19504,-0.18265,68.146,-26.807
3840.240,0.18653,-0.18903,66.633,-27.102
3846.046,0.17781,-0.19081,65.411,-26.784
3851.852,0.16845,-0.19391,64.056,-26.596
3857.658,0.15266,-0.19706,61.961,-26.039
3863.463,0.14576,-0.19430,61.305,-25.317
3869.269,0.13515,-0.19493,60.037,-24.801
3875.075,0.12693,-0.19392,59.154,-24.244
3880.881,0.11595,-0.19195,58.024,-23.454
3886.687,0.10782,-0.18843,57.298,-22.661
3892.492,0.09994,-0.18485,56.607,-21.895
3898.298,0.09272,-0.18132,55.987,-21.181
3904.104,0.08551,-0.17690,55.407,-20.390
3909.910,0.07808,-0.17110,54.858,-19.461
3915.716,0.07485,-0.16663,54.694,-18.856
3921.522,0.07072,-0.16161,54.451,-18.165
3927.327,0.06920,-0.15758,54.441,-17.682
3933.133,0.06347,-0.15350,53.984,-17.043
3938.939,0.06329,-0.14902,54.121,-16.564
3944.745,0.06414,-0.14457,54.363,-16.122
3950.551,0.06182,-0.14222,54.195,-15.795
3956.356,0.06105,-0.14032,54.175,-15.568
3962.162,0.06223,-0.13761,54.388,-15.318
3967.968,0.06459,-0.13620,54.686,-15.242
3973.774,0.06695,-0.13414,55.005,-15.096
3979.580,0.06695,-0.13676,54.921,-15.378
3985.385,0.06909,-0.13346,55.258,-15.091
3991.191,0.07076,-0.13353,55.438,-15.151
3996.997,0.06873,-0.13941,55.026,-15.723
4002.803,0.06978,-0.13573,55.261,-15.359
4008.609,0.07067,-0.13905,55.248,-15.748
4014.414,0.06806,-0.13961,54.948,-15.722
4020.220,0.06167,-0.14108,54.217,-15.669
4026.026,0.06157,-0.15100,53.872,-16.714
4031.832,0.05942,-0.15037,53.668,-16.573
4037.638,0.05231,-0.15685,52.707,-16.999
4043.443,0.04831,-0.15576,52.335,-16.749
4049.249,0.04348,-0.16134,51.653,-17.146
4055.055,0.03356,-0.15454,50.893,-16.133
4060.861,0.02672,-0.16001,50.042,-16.448
4066.667,0.01785,-0.15910,49.214,-16.072
4072.472,0.01118,-0.15896,48.583,-15.848
4078.278,0.00068,-0.15871,47.606,-15.502
4084.084,-0.00573,-0.15978,46.982,-15.408
4089.890,-0.01530,-0.15600,46.221,-14.784
4095.696,-0.02479,-0.15423,45.420,-14.360
4101.502,-0.03170,-0.15172,44.875,-13.952
4107.307,-0.04237,-0.14704,44.064,-13.269
4113.113,-0.05216,-0.14177,43.348,-12.578
4118.919,-0.06099,-0.13518,42.746,-11.817
