Freq (MHz),re(S11),im(S11),re(Z),im(Z)
2562.963,-0.44957,0.37690,14.617,16.801
2568.769,-0.44713,0.38944,14.436,17.340
2574.575,-0.44125,0.40039,14.413,17.894
2580.380,-0.43536,0.41152,14.377,18.457
2586.186,-0.42879,0.42100,14.398,18.975
2591.992,-0.41793,0.43431,14.476,19.749
2597.798,-0.40781,0.44200,14.659,20.300
2603.604,-0.40044,0.44981,14.728,20.790
2609.409,-0.38981,0.45888,14.880,21.421
2615.215,-0.38011,0.46294,15.130,21.847
2621.021,-0.36812,0.47175,15.326,22.526
2626.827,-0.35723,0.47529,15.631,22.983
2632.633,-0.34563,0.47936,15.946,23.492
2638.438,-0.33277,0.48009,16.414,23.924
2644.244,-0.32206,0.48169,16.775,24.330
2650.050,-0.31166,0.48037,17.223,24.619
2655.856,-0.30212,0.48053,17.593,24.944
2661.662,-0.28944,0.47847,18.167,25.295
2667.467,-0.27867,0.47432,18.747,25.502
2673.273,-0.26945,0.46982,19.284,25.642
2679.079,-0.26042,0.46340,19.892,25.696
2684.885,-0.25147,0.45698,20.505,25.745
2690.691,-0.24375,0.44935,21.119,25.694
2696.496,-0.24065,0.44080,21.568,25.428
2702.302,-0.23516,0.43243,22.121,25.250
2708.108,-0.23183,0.42668,22.484,25.107
2713.914,-0.22966,0.42003,22.826,24.876
2719.720,-0.23258,0.41146,22.996,24.368
2725.526,-0.23493,0.40666,23.055,24.056
2731.331,-0.23759,0.40204,23.089,23.744
2737.137,-0.24147,0.40072,22.949,23.547
2742.943,-0.24720,0.39863,22.748,23.252
2748.749,-0.25253,0.39902,22.482,23.091
2754.555,-0.26139,0.39995,22.036,22.840
2760.360,-0.26563,0.40639,21.627,22.999
2766.166,-0.27530,0.40844,21.118,22.777
2771.972,-0.28116,0.41571,20.619,22.914
2777.778,-0.28613,0.42534,20.087,23.179
2783.584,-0.29296,0.43206,19.573,23.249
2789.389,-0.29449,0.44308,19.149,23.669
2795.195,-0.29863,0.45248,18.668,23.926
2801.001,-0.30149,0.46273,18.213,24.252
2806.807,-0.30340,0.47289,17.798,24.598
2812.613,-0.30451,0.48523,17.340,25.048
2818.418,-0.30039,0.49463,17.180,25.554
2824.224,-0.29750,0.50511,16.928,26.055
2830.030,-0.29454,0.51404,16.726,26.496
2835.836,-0.28846,0.52381,16.604,27.077
2841.642,-0.28435,0.53045,16.515,27.471
2847.447,-0.27453,0.54066,16.495,28.207
2853.253,-0.26681,0.54853,16.475,28.784
2859.059,-0.25683,0.55643,16.526,29.452
2864.865,-0.24916,0.56068,16.630,29.907
2870.671,-0.24037,0.56587,16.732,30.444
2876.476,-0.22902,0.57004,16.961,31.058
2882.282,-0.21883,0.57092,17.283,31.516
2888.088,-0.20576,0.57888,17.400,32.358
2893.894,-0.19930,0.58029,17.564,32.692
2899.700,-0.18856,0.57401,18.223,32.948
2905.506,-0.17898,0.57948,18.315,33.578
2911.311,-0.16836,0.57332,18.980,33.849
2917.117,-0.15878,0.57030,19.470,34.190
2922.923,-0.14866,0.56837,19.935,34.605
2928.729,-0.13810,0.56410,20.537,34.962
2934.535,-0.12958,0.55626,21.250,35.087
2940.340,-0.12071,0.55057,21.881,35.313
2946.146,-0.11506,0.54310,22.486,35.305
2951.952,-0.10562,0.53675,23.196,35.535
2957.758,-0.10136,0.52870,23.792,35.423
2963.564,-0.09679,0.52118,24.380,35.344
2969.369,-0.09604,0.51400,24.789,35.073
2975.175,-0.08820,0.50547,25.586,35.110
2980.981,-0.09157,0.49519,25.976,34.466
2986.787,-0.08751,0.48772,26.555,34.333
2992.593,-0.08903,0.48194,26.787,33.981
2998.398,-0.08890,0.47607,27.099,33.708
3004.204,-0.09586,0.46945,27.103,33.029
3010.010,-0.09813,0.47159,26.884,33.018
3015.816,-0.10393,0.47232,26.569,32.760
3021.622,-0.10711,0.46888,26.588,32.436
3027.427,-0.11443,0.47371,26.000,32.305
3033.233,-0.11918,0.47368,25.777,32.072
3039.039,-0.12531,0.47632,25.362,31.900
3044.845,-0.12587,0.48490,24.922,32.268
3050.651,-0.13062,0.49211,24.360,32.366
3056.456,-0.13445,0.49885,23.866,32.481
3062.262,-0.13680,0.50594,23.423,32.678
3068.068,-0.13545,0.51724,22.936,33.225
3073.874,-0.13587,0.52837,22.377,33.668
3079.680,-0.13582,0.53271,22.168,33.847
3085.485,-0.13391,0.54449,21.666,34.413
3091.291,-0.12134,0.55098,21.835,35.297
3097.097,-0.12559,0.55863,21.284,35.379
3102.903,-0.11934,0.56682,21.105,36.007
3108.709,-0.11114,0.57340,21.071,36.676
3114.515,-0.10514,0.57867,21.015,37.185
3120.320,-0.09805,0.58205,21.094,37.686
3126.126,-0.09285,0.58533,21.106,38.084
3131.932,-0.07862,0.58998,21.361,39.033
3137.738,-0.06416,0.59752,21.446,40.117
3143.544,-0.06352,0.59266,21.747,39.982
3149.349,-0.05100,0.59879,21.832,40.925
3155.155,-0.04454,0.59600,22.223,41.209
3160.961,-0.03387,0.59544,22.632,41.831
3166.767,-0.02608,0.59072,23.198,42.140
3172.573,-0.01780,0.58739,23.703,42.536
3178.378,-0.01300,0.58607,23.960,42.790
3184.184,-0.00865,0.58029,24.488,42.854
3189.990,-0.00025,0.57493,25.148,43.194
3195.796,0.00615,0.56872,25.798,43.375
3201.602,0.01068,0.55683,26.762,43.205
3207.407,0.01853,0.55173,27.422,43.522
3213.213,0.02386,0.54468,28.121,43.591
3219.019,0.02685,0.54631,28.135,43.863
3224.825,0.02647,0.52956,29.265,43.117
3230.631,0.02691,0.51527,30.261,42.500
3236.436,0.02917,0.50876,30.812,42.349
3242.242,0.03346,0.50213,31.472,42.326
3248.048,0.02601,0.49746,31.429,41.589
3253.854,0.02457,0.49300,31.659,41.272
3259.660,0.02239,0.48020,32.407,40.478
3265.465,0.01973,0.48225,32.135,40.406
3271.271,0.01591,0.47746,32.254,39.908
3277.077,0.00708,0.47740,31.803,39.331
3282.883,0.01015,0.47712,31.979,39.515
3288.689,0.00632,0.48039,31.571,39.435
3294.494,-0.00475,0.48041,31.008,38.732
3300.300,-0.00291,0.48127,31.046,38.892
3306.106,-0.00384,0.49006,30.445,39.272
3311.912,-0.00942,0.49404,29.922,39.116
3317.718,-0.00920,0.49909,29.617,39.374
3323.524,-0.01076,0.50430,29.216,39.524
3329.329,-0.01140,0.51149,28.735,39.818
3335.135,-0.00971,0.51694,28.470,40.175
3340.941,-0.01023,0.52348,28.034,40.436
3346.747,-0.00825,0.53063,27.669,40.876
3352.553,-0.00336,0.53936,27.322,41.565
3358.358,0.00198,0.54521,27.168,42.156
3364.164,0.00278,0.55067,26.846,42.435
3369.970,0.00792,0.55507,26.767,42.951
3375.776,0.01757,0.56113,26.750,43.837
3381.582,0.02349,0.56385,26.800,44.345
3387.387,0.03120,0.56662,26.912,44.983
3393.193,0.03813,0.56766,27.108,45.506
3398.999,0.05031,0.57078,27.355,46.492
3404.805,0.05104,0.56992,27.445,46.511
3410.611,0.05732,0.56809,27.819,46.896
3416.416,0.06422,0.56861,28.047,47.424
3422.222,0.07155,0.56753,28.409,47.929
3428.028,0.07791,0.56561,28.800,48.336
3433.834,0.08043,0.56214,29.163,48.394
3439.640,0.09212,0.56239,29.601,49.310
3445.445,0.09129,0.55113,30.453,48.794
3451.251,0.09454,0.55420,30.343,49.175
3457.057,0.09626,0.54450,31.182,48.911
3462.863,0.09792,0.53748,31.811,48.745
3468.669,0.10217,0.53753,31.991,49.088
3474.474,0.09976,0.52394,32.976,48.292
3480.280,0.10094,0.52351,33.064,48.367
3486.086,0.09828,0.51413,33.692,47.718
3491.892,0.09951,0.50911,34.152,47.577
3497.698,0.09812,0.50456,34.448,47.245
3503.504,0.09691,0.50403,34.431,47.123
3509.309,0.09251,0.49611,34.839,46.380
3515.115,0.08712,0.49888,34.352,46.097
3520.921,0.08235,0.49704,34.255,45.637
3526.727,0.07941,0.49831,34.011,45.475
3532.533,0.08523,0.50738,33.598,46.368
3538.338,0.07455,0.50256,33.448,45.316
3544.144,0.07533,0.50442,33.344,45.465
3549.950,0.07510,0.50776,33.081,45.610
3555.756,0.06878,0.51267,32.409,45.369
3561.562,0.06682,0.51618,32.055,45.388
3567.367,0.06708,0.52408,31.477,45.771
3573.173,0.07056,0.52995,31.194,46.296
3578.979,0.06562,0.53448,30.638,46.127
3584.785,0.07694,0.53987,30.722,47.212
3590.591,0.07766,0.54364,30.465,47.428
3596.396,0.07779,0.55269,29.780,47.813
3602.202,0.08018,0.55775,29.490,48.200
3608.008,0.08792,0.56303,29.387,49.006
3613.814,0.09188,0.56939,29.044,49.560
3619.620,0.09910,0.57376,28.970,50.293
3625.425,0.10689,0.57777,28.934,51.064
3631.231,0.11279,0.58149,28.844,51.675
3637.037,0.12140,0.58440,28.907,52.485
3642.843,0.12542,0.58589,28.922,52.871
3648.649,0.13340,0.58802,29.014,53.614
3654.454,0.12324,0.58933,28.561,52.807
3660.260,0.14707,0.59024,29.278,54.861
3666.066,0.15157,0.59122,29.339,55.286
3671.872,0.15835,0.58805,29.840,55.783
3677.678,0.16451,0.58789,30.054,56.330
3683.483,0.16798,0.58645,30.297,56.597
3689.289,0.17155,0.58678,30.382,56.934
3695.095,0.17777,0.58568,30.683,57.471
3700.901,0.18190,0.57976,31.370,57.665
3706.707,0.18183,0.58140,31.214,57.712
3712.513,0.18321,0.57558,31.806,57.648
3718.318,0.18725,0.57166,32.316,57.898
3724.124,0.18403,0.56492,32.844,57.355
3729.930,0.18716,0.57268,32.215,57.924
3735.736,0.19682,0.57174,32.633,58.822
3741.542,0.19529,0.57034,32.717,58.626
3747.347,0.19538,0.57144,32.614,58.672
3753.153,0.20175,0.56268,33.690,58.992
3758.959,0.19979,0.56704,33.193,58.951
3764.765,0.18997,0.56638,32.916,57.976
3770.571,0.19500,0.57104,32.640,58.622
3776.376,0.20354,0.56214,33.807,59.151
3782.182,0.20715,0.57353,32.800,59.896
3787.988,0.20432,0.56906,33.149,59.467
3793.794,0.19960,0.57466,32.441,59.189
3799.600,0.21601,0.58132,32.303,61.026
3805.405,0.20676,0.57458,32.684,59.891
3811.211,0.21459,0.59210,31.184,61.202
3817.017,0.21219,0.58356,31.963,60.712
3822.823,0.21951,0.59095,31.438,61.661
3828.629,0.23143,0.59046,31.820,62.859
3834.434,0.23132,0.59785,31.059,63.044
3840.240,0.23872,0.59912,31.117,63.838
3846.046,0.23877,0.60018,31.009,63.870
3851.852,0.24491,0.60350,30.813,64.588
3857.658,0.25307,0.60168,31.195,65.405
3863.463,0.25467,0.60839,30.519,65.725
3869.269,0.26198,0.60877,30.634,66.513
3875.075,0.26717,0.60815,30.807,67.059
3880.881,0.27508,0.61207,30.534,67.997
3886.687,0.28850,0.61288,30.682,69.499
3892.492,0.29495,0.61284,30.793,70.225
3898.298,0.29934,0.61269,30.878,70.724
3904.104,0.30822,0.61262,31.017,71.747
3909.910,0.31313,0.61290,31.053,72.324
3915.716,0.32065,0.61230,31.221,73.204
3921.522,0.32853,0.61175,31.380,74.142
3927.327,0.33197,0.60992,31.640,74.538
3933.133,0.34270,0.60898,31.866,75.847
3938.939,0.34655,0.60385,32.544,76.279
3944.745,0.35364,0.60722,32.182,77.206
3950.551,0.35530,0.60769,32.135,77.420
3956.356,0.36307,0.60519,32.511,78.399
3962.162,0.35999,0.59959,33.213,77.958
3967.968,0.36660,0.59946,33.281,78.820
3973.774,0.37307,0.59700,33.652,79.658
3979.580,0.36904,0.59777,33.522,79.129
3985.385,0.37892,0.59315,34.206,80.420
3991.191,0.37872,0.59449,34.024,80.401
3996.997,0.38200,0.58790,34.943,80.805
4002.803,0.39146,0.59040,34.649,82.126
4008.609,0.39763,0.58477,35.467,82.969
4014.414,0.39433,0.58472,35.458,82.503
4020.220,0.39693,0.59641,33.829,82.904
4026.026,0.40814,0.58438,35.554,84.472
4031.832,0.40809,0.57812,36.463,84.448
4037.638,0.42577,0.58103,36.048,87.067
4043.443,0.42640,0.57697,36.658,87.167
4049.249,0.42812,0.57437,37.052,87.430
4055.055,0.43227,0.58117,36.010,88.046
4060.861,0.43171,0.57538,36.892,87.977
4066.667,0.44732,0.57698,36.579,90.385
4072.472,0.44465,0.57880,36.312,89.956
4078.278,0.45117,0.57650,36.625,90.992
4084.084,0.45924,0.57499,36.795,92.288
4089.890,0.46280,0.56742,37.987,92.937
4095.696,0.46926,0.57224,37.128,93.941
4101.502,0.47961,0.56497,38.202,95.758
4107.307,0.47885,0.56886,37.559,95.574
4113.113,0.49290,0.56148,38.591,98.090
4118.919,0.48633,0.55631,39.593,97.030
4124.725,0.48602,0.56386,38.295,96.864
4130.531,0.50203,0.55668,39.264,99.787
4136.336,0.51009,0.55524,39.351,101.265
4142.142,0.51794,0.54800,40.497,102.874
4147.948,0.51531,0.54758,40.636,102.396
4153.754,0.52614,0.54431,40.985,104.511
4159.560,0.52878,0.54136,41.478,105.094
4165.365,0.53246,0.53788,42.053,105.902
4171.171,0.54427,0.54016,41.244,108.148
4176.977,0.54602,0.53335,42.543,108.722
4182.783,0.54657,0.53481,42.232,108.786
4188.589,0.56165,0.52353,44.019,112.289
4194.394,0.56356,0.52463,43.714,112.649
4200.200,0.57300,0.51253,45.952,115.170
4206.006,0.57688,0.50774,46.861,116.234
4211.812,0.58511,0.51219,45.494,117.887
4217.618,0.58726,0.50937,46.027,118.510
4223.423,0.59104,0.50690,46.408,119.496
4229.229,0.59486,0.50024,47.770,120.720
4235.035,0.59618,0.50000,47.760,121.045
4240.841,0.60133,0.49302,49.170,122.639
4246.647,0.60918,0.49040,49.387,124.709
4252.452,0.60744,0.49385,48.636,124.086
4258.258,0.61965,0.48213,50.857,127.846
4264.064,0.62284,0.47981,51.260,128.818
4269.870,0.61738,0.48352,50.641,127.178
4275.676,0.62330,0.48129,50.844,128.845
4281.481,0.63324,0.47435,52.014,131.940
4287.287,0.63700,0.46653,53.887,133.515
4293.093,0.64106,0.45763,56.111,135.288
4298.899,0.64239,0.46165,54.869,135.378
4304.705,0.64039,0.46384,54.395,134.655
4310.511,0.64494,0.45886,55.479,136.314
4316.316,0.66502,0.44990,56.471,142.997
4322.122,0.66512,0.44740,57.225,143.255
4327.928,0.66287,0.44361,58.594,142.894
4333.734,0.66497,0.43184,62.151,144.559
4339.540,0.67013,0.44378,57.888,145.144
4345.345,0.68073,0.43047,61.153,149.864
4351.151,0.67195,0.42909,62.446,147.083
4356.957,0.66994,0.42630,63.552,146.662
4362.763,0.69064,0.41879,64.117,154.485
4368.569,0.69182,0.41468,65.451,155.349
4374.374,0.69172,0.41265,66.192,155.530
4380.180,0.70077,0.40335,68.633,159.912
4385.986,0.69626,0.39963,70.548,158.609
4391.792,0.70108,0.40154,69.287,160.238
4397.598,0.70360,0.38968,73.654,162.567
4403.403,0.71419,0.38350,74.941,167.642
4409.209,0.70152,0.38035,77.688,162.712
4415.015,0.71279,0.37261,79.767,168.353
4420.821,0.71339,0.37177,80.064,168.712
4426.627,0.71942,0.36516,82.309,172.191
4432.432,0.72710,0.35928,84.064,176.501
4438.238,0.73029,0.35259,86.864,178.922
4444.044,0.73014,0.34938,88.469,179.272
4449.850,0.73822,0.33841,93.008,184.874
4455.656,0.73581,0.34327,90.801,182.949
4461.461,0.74191,0.33327,95.255,187.565
4467.267,0.74512,0.30831,109.278,192.671
4473.073,0.75362,0.31140,106.262,197.498
4478.879,0.74836,0.30537,110.713,195.034
4484.685,0.75690,0.30770,108.085,200.093
4490.490,0.76000,0.29596,115.300,203.838
4496.296,0.76631,0.29212,116.984,208.742
4502.102,0.76708,0.29305,116.220,209.127
4507.908,0.77799,0.28998,116.455,217.415
4513.714,0.78397,0.27461,126.958,224.940
4519.520,0.78559,0.27197,128.765,226.759
4525.325,0.78284,0.25945,139.707,226.650
4531.131,0.78610,0.25335,144.562,230.447
4536.937,0.79236,0.25848,138.894,235.138
4542.743,0.79538,0.25550,140.967,238.456
4548.549,0.79910,0.24044,154.638,244.921
4554.354,0.80129,0.24285,151.812,246.642
4560.160,0.80724,0.22852,165.666,255.675
4565.966,0.79951,0.24508,149.966,244.445
4571.772,0.80815,0.23153,162.196,256.080
4577.578,0.80581,0.23043,163.845,253.750
4583.383,0.81144,0.22573,167.963,260.927
4589.189,0.82103,0.21637,176.983,274.421
4594.995,0.81486,0.21382,181.443,267.288
4600.801,0.80827,0.22036,174.726,258.279
4606.607,0.82798,0.19014,211.650,289.211
4612.412,0.83886,0.18922,210.875,306.324
4618.218,0.81692,0.20596,191.094,271.217
4624.024,0.82616,0.19107,210.524,286.339
4629.830,0.83282,0.18002,226.984,298.268
4635.636,0.83488,0.17959,227.435,301.740
4641.441,0.82885,0.17810,230.517,291.911
4647.247,0.82112,0.17954,228.494,279.518
4653.053,0.82111,0.17212,240.277,279.294
4658.859,0.83874,0.15700,268.358,309.939
4664.665,0.84461,0.15458,273.448,321.775
4670.470,0.84218,0.14655,290.250,315.947
4676.276,0.83916,0.14085,301.879,308.158
4682.082,0.83718,0.14134,300.248,304.045
4687.888,0.83551,0.13352,316.468,297.482
4693.694,0.84307,0.11936,353.702,307.052
4699.499,0.84215,0.10808,381.301,295.312
4705.305,0.84261,0.09596,413.183,282.403
4711.111,0.84320,0.09330,420.986,280.245
4716.917,0.84349,0.08390,446.328,266.056
4722.723,0.84315,0.08050,454.635,258.971
4728.529,0.84658,0.07347,480.216,253.889
4734.334,0.84161,0.05353,516.639,191.518
4740.140,0.84567,0.05086,534.497,192.611
4745.946,0.83914,0.03355,545.730,124.241
4751.752,0.84575,0.02411,582.827,98.911
4757.558,0.84839,0.02929,585.867,122.845
4763.363,0.84440,0.01473,586.948,60.307
4769.169,0.84520,0.01680,588.469,69.276
4774.975,0.83984,0.00483,573.820,18.832
4780.781,0.85405,0.01239,630.243,57.760
4786.587,0.84345,-0.00582,587.909,-23.725
4792.392,0.85141,-0.01697,614.319,-75.883
4798.198,0.84712,-0.02186,590.985,-91.649
4804.004,0.84434,-0.01275,588.125,-52.267
4809.810,0.84589,-0.03212,571.865,-129.620
4815.616,0.85150,-0.01753,614.155,-78.415
4821.421,0.84828,-0.03135,582.105,-130.621
4827.227,0.85323,-0.05289,553.013,-217.320
4833.033,0.85242,-0.05433,546.749,-219.681
4838.839,0.85420,-0.05336,554.883,-221.362
4844.645,0.85528,-0.05359,557.647,-225.029
4850.450,0.85823,-0.06371,536.855,-263.734
4856.256,0.86220,-0.08415,478.560,-322.781
4862.062,0.85725,-0.08090,480.212,-300.486
4867.868,0.86646,-0.09352,452.420,-351.858
4873.674,0.86116,-0.09009,456.853,-328.872
4879.479,0.85905,-0.08680,464.386,-316.762
4885.285,0.85914,-0.09940,423.932,-334.416
4891.091,0.85551,-0.10575,400.681,-329.838
4896.897,0.85021,-0.09585,423.635,-303.082
4902.703,0.85129,-0.08315,462.285,-286.442
4908.509,0.85149,-0.12716,338.513,-332.658
4914.314,0.84597,-0.12191,349.165,-315.925
4920.120,0.85480,-0.11916,361.540,-337.741
4925.926,0.85013,-0.12628,340.209,-328.786
4931.732,0.84337,-0.13802,309.390,-316.696
4937.538,0.84278,-0.15481,272.934,-317.992
4943.343,0.84039,-0.13655,311.757,-309.488
4949.149,0.84411,-0.16682,249.046,-320.006
4954.955,0.84177,-0.15909,264.289,-316.001
4960.761,0.83976,-0.16386,255.065,-311.949
4966.567,0.83809,-0.16404,254.774,-308.795
4972.372,0.83319,-0.17518,235.083,-299.381
4978.178,0.83194,-0.18910,212.575,-295.455
4983.984,0.82991,-0.19376,205.871,-291.476
4989.790,0.82912,-0.20308,192.588,-288.291
4995.596,0.82780,-0.20640,188.331,-285.666
5001.401,0.82779,-0.21110,182.031,-284.430
5007.207,0.81929,-0.22341,168.858,-270.581
5013.013,0.82485,-0.22946,160.187,-275.368
5018.819,0.81574,-0.24511,145.955,-260.666
5024.625,0.80736,-0.24152,151.836,-253.050
5030.430,0.81634,-0.25938,131.828,-256.795
5036.236,0.82882,-0.27111,116.516,-263.716
5042.042,0.81251,-0.28541,110.780,-244.752
5047.848,0.80944,-0.29047,107.897,-240.685
5053.654,0.79855,-0.29763,105.962,-230.423
5059.459,0.81868,-0.29311,102.635,-246.744
